"","1"
"(Intercept)",-32.8088283483893
"sales_mil_log",1.89088260105281e-05
"sales_mil_log_sq",-0.00193517891916242
"total_assets_bs",-0.0717947283488605
"fixed_assets_bs",0.0582815730674066
"liq_assets_bs",-0.0121783269514071
"curr_assets_bs",-0.0190056680520196
"share_eq_bs",0.0981592590748453
"subscribed_cap_bs",0
"intang_assets_bs",0
"extra_exp_pl",0
"extra_inc_pl",0
"extra_profit_loss_pl",0
"inc_bef_tax_pl",0
"inventories_pl",0.164284039553698
"material_exp_pl",0
"profit_loss_year_pl",0
"personnel_exp_pl",0
"extra_profit_loss_pl_quad",0
"inc_bef_tax_pl_quad",0
"profit_loss_year_pl_quad",-0.0403068530584685
"share_eq_bs_quad",0
"extra_profit_loss_pl_flag_low",0
"share_eq_bs_flag_low",0
"inc_bef_tax_pl_flag_low",0
"profit_loss_year_pl_flag_low",0
"extra_exp_pl_flag_high",0
"extra_inc_pl_flag_high",0
"inventories_pl_flag_high",0
"material_exp_pl_flag_high",0.0184136499308472
"personnel_exp_pl_flag_high",0
"curr_liab_bs_flag_high",0.0740828000175996
"liq_assets_bs_flag_high",0
"subscribed_cap_bs_flag_high",0.0772619227612914
"extra_profit_loss_pl_flag_high",-0.0459060159830031
"share_eq_bs_flag_high",-0.145552042991043
"inc_bef_tax_pl_flag_high",0
"profit_loss_year_pl_flag_high",-0.0414383417152736
"extra_exp_pl_flag_error",0
"extra_inc_pl_flag_error",0
"inventories_pl_flag_error",0
"material_exp_pl_flag_error",0
"personnel_exp_pl_flag_error",0
"curr_liab_bs_flag_error",0
"liq_assets_bs_flag_error",-0.0827911822507545
"extra_profit_loss_pl_flag_zero",0
"share_eq_bs_flag_zero",0
"d1_sales_mil_log_mod",0.0816935307054684
"d1_sales_mil_log_mod_sq",-0.122765505858243
"flag_low_d1_sales_mil_log",0
"flag_high_d1_sales_mil_log",0.00243941528739482
"sales_y_on_y",77.5312901569143
"profit_loss_year_y_on_y",0
"inc_bef_tax_y_on_y",0
"female",-0.0379644821819176
